date,category,description,amount
2024-01-08,Food,Breakfast at canteen,45
2024-01-08,Transport,Auto to college,80
2024-01-08,Food,Lunch at mess,60
2024-01-08,Food,Evening chai and biscuits,30
2024-01-08,Entertainment,Spotify monthly subscription,119
2024-01-09,Food,Breakfast,45
2024-01-09,Transport,Auto to college,80
2024-01-09,Education,Notebook and pens,120
2024-01-09,Food,Lunch at mess,60
2024-01-09,Food,Cold coffee at café,80
2024-01-10,Food,Breakfast at canteen,45
2024-01-10,Transport,Auto to college,80
2024-01-10,Food,Lunch at mess,60
2024-01-10,Shopping,Shampoo and soap,180
2024-01-10,Food,Dinner with friends,220
2024-01-10,Transport,Auto back from dinner,90
2024-01-11,Food,Breakfast,45
2024-01-11,Transport,Auto to college,80
2024-01-11,Food,Lunch at mess,60
2024-01-11,Education,Photocopy of notes,35
2024-01-11,Health,Paracetamol tablets,42
2024-01-11,Food,Evening snacks,40
2024-01-12,Food,Breakfast at canteen,45
2024-01-12,Transport,Auto to college,80
2024-01-12,Food,Lunch at mess,60
2024-01-12,Entertainment,Movie ticket (Friday),220
2024-01-12,Food,Popcorn and cold drink,120
2024-01-12,Transport,Auto back from movie,90
2024-01-13,Food,Breakfast from outside,90
2024-01-13,Shopping,New T-shirt,499
2024-01-13,Food,Lunch at mall food court,180
2024-01-13,Entertainment,Bowling with friends,350
2024-01-13,Food,Ice cream,60
2024-01-13,Transport,Uber back home,140
2024-01-14,Food,Sunday brunch at home,0
2024-01-14,Food,Lunch at mess,60
2024-01-14,Education,Data Science book (online),299
2024-01-14,Food,Evening chai,20
2024-01-14,Health,Vitamin tablets,199
2024-01-14,Food,Dinner at mess,50
